"Material","Sample","Site","Li","Be","S","Sc","V","Cr","Co","Ni","Cu","Zn","Ga","As","Rb","Sr","Y","Zr","Nb","Mo","Sn","Sb","Cs","Ba","La","Ce","Pr","Nd","Sm","Eu","Gd","Tb","Dy","Ho","Er","Tm","Yb","Lu","Hf","Ta","W","Th","U"
"Iron-SI-P","MA-201421","Eisenberg","27.35","1.28","1130.44","12.47","26.09","25.68","2.52","3.47","3.41","3.12","4.9","6.28","93.98","176.44","14.13","176.63","6.78","0.03","4.01","0.19","4.62","442.39","17.19","35.49","4.29","14.29","3.06","0.58","3.09","0.45","2.63","0.46","1.59","0.3","1.23","0.19","4.74","0.5","4.74","5.27","2.01"
"Iron-SI-P","MA-201421","Eisenberg","37.12","0.94","2430.69","15.15","32.67","32.85","22.89","40.68","15.58","3.35","2.09","35.27","82.78","222.25","13.74","169.06","6.63","0.09","3.41","0.79","4.09","481.95","19.01","37.82","4.73","16.15","3.25","0.58","2.84","0.47","2.42","0.52","2.29","0.18","1.81","0.3","4.1","0.54","4.1","6.1","2.08"
"Iron-SI-P","MA-201421","Eisenberg","41.07","1.03","2217.36","15.59","35.25","29.57","1.26","0.8","1.28","1.39","1.34","1.68","90.32","227.98","17.23","212.54","8.64","0.05","1.15","0.01","4.03","529.3","22.27","45.56","5.07","19.03","3.97","0.92","3.73","0.49","3.16","0.62","1.93","0.31","1.82","0.27","5.12","0.59","5.12","6.29","2.62"
"Iron-SI-P","MA-201421","Eisenberg","23.48","1.15","1078.84","10.45","22.61","25.27","68.4","122.02","44.97","6.89","5.67","59.79","59.18","138.87","8.23","105.26","5.34","0.21","5.03","3.44","2.65","330.2","11.9","26.12","2.28","10.19","2.19","0.41","3.16","0.14","1.29","0.29","1.12","0.2","0.85","0.18","2.87","0.28","2.87","3.36","1.8"
"Iron-SI-P","MA-201421","Eisenberg","29.52","1.29","1399.81","12.37","30.12","31.34","19.05","32.4","18.27","4.81","4.75","37.59","69.65","204.47","15.11","173.99","7.46","0.1","4.09","1.16","3.24","459.33","17.94","37.11","4.18","16.99","3.35","0.64","2.75","0.51","2.57","0.47","1.27","0.26","1.38","0.21","4.68","0.43","4.68","5.59","2.28"
"Iron-SI-P","MA-201421","Eisenberg","34.78","3.39","0.01","20.39","9.52","16.74","138.59","189.79","43.02","27.73","3.74","93.62","82.73","136.37","14.95","230.69","7.93","4.21","1.36","2.32","4.92","411.79","17.58","31.31","4.11","23.1","4.41","1.2","1.29","0.38","2.45","0.75","1.83","0.42","2.6","0.25","4.3","0.58","4.3","6.61","2.1"
"Iron-SI-P","MA-201421","Eisenberg","38.26","1.41","1950.48","16.32","13.08","5.05","2.9","6.04","1.28","0.98","0.39","0.58","103.11","226.45","19.65","256.51","8.93","0.04","0.21","0.1","5.15","578.49","24.25","46.82","5.31","22.38","5.19","1.0","2.83","0.53","2.86","0.72","2.03","0.3","2.58","0.28","6.92","0.75","6.92","6.89","2.7"
"Iron-SI-P","MA-201421","Eisenberg","45.61","0.61","154.69","21.71","18.09","13.99","39.54","58.07","16.52","7.72","1.94","18.73","74.88","207.4","17.55","228.12","14.39","0.93","1.48","0.17","5.65","773.16","29.66","38.23","5.49","35.27","9.71","1.07","3.57","0.59","4.35","0.75","5.22","0.52","4.68","0.36","4.38","1.02","4.38","5.83","2.37"
"Iron-SI-P","MA-201421","Eisenberg","26.44","1.7","117.29","12.4","12.48","2.8","92.05","144.92","35.8","0.5","2.01","51.14","69.59","185.36","16.06","204.19","8.93","1.48","1.32","1.46","3.26","418.16","18.61","38.74","4.67","19.61","4.17","0.53","3.05","0.44","3.02","0.65","1.98","0.14","1.68","0.25","5.01","0.64","5.01","6.26","2.25"
"Iron-SI-P","MA-201421","Eisenberg","31.02","1.37","1167.04","14.06","21.97","20.96","36.81","56.32","17.43","5.79","3.46","28.18","74.32","179.79","14.27","182.36","7.72","0.71","2.36","0.88","3.81","456.44","18.49","35.14","4.17","18.0","4.01","0.72","2.78","0.42","2.54","0.54","1.93","0.26","1.89","0.24","4.49","0.54","4.49","5.38","2.05"
"Iron-SI","MA-201422","Eisenberg","41.47","5.23","766.83","7.15","63.77","48.8","4.83","10.64","20.41","3.7","21.11","1.38","170.19","172.83","29.36","172.59","14.8","0.01","1.81","0.18","15.34","555.69","30.48","72.6","8.52","37.57","9.42","0.87","6.12","0.92","4.93","0.79","3.1","0.37","1.99","0.24","4.69","0.83","4.69","9.35","5.2"
"Iron-SI","MA-201422","Eisenberg","25.59","7.64","723.42","11.85","209.65","207.48","1.42","1.54","3.4","3.9","10.56","0.19","43.29","103.3","42.32","225.95","10.43","1.1","1.33","0.06","2.54","479.18","26.67","51.78","6.58","27.69","6.58","1.43","5.91","0.81","5.82","1.17","4.05","0.47","3.31","0.52","5.32","0.66","5.32","6.11","9.83"
"Iron-SI","MA-201422","Eisenberg","24.99","6.87","1449.61","9.95","229.29","231.2","8.13","39.89","6.08","8.44","14.0","2.38","31.81","72.89","34.08","163.91","7.77","2.18","0.5","0.23","1.66","390.55","19.83","40.69","4.97","22.35","4.72","1.13","5.08","0.77","5.65","0.92","3.39","0.41","2.89","0.31","3.77","0.4","3.77","4.16","8.04"
